330,1,1,16.5,1,0,20,30,10
2,2,1,7,2,0,20,15,14
3,3,1,5.6,3,0,20,15,14
4,1,2,22.4,1,1,30,30,10
5,2,2,9.1,2,0,20,15,14
6,3,2,7.3,3,0,20,15,14
7,1,3,28.7,7,2,40,40,8
8,2,3,12.6,8,0,20,20,12
9,3,3,11.9,9,0,20,15,14
10,5,3,12.6,8,0,20,20,12
11,1,4,25.3,7,2,30,40,8
12,2,4,11.9,8,0,20,15,14
13,3,4,8.6,9,0,20,15,14
14,5,4,11.9,8,0,20,15,14
15,1,5,20,7,1,30,30,10
16,2,5,9.4,8,0,20,15,14
17,3,5,6.9,9,0,20,15,14
18,5,5,9.4,8,0,20,15,14
19,1,6,20,7,1,30,30,10
20,2,6,9.4,8,0,20,15,14
21,3,6,7.1,9,0,20,15,14
22,5,6,9.4,8,0,20,15,14
23,1,7,14.5,1,0,20,20,12
24,2,7,6.4,2,0,20,15,14
25,3,7,4.7,3,0,20,15,14
26,1,8,18.8,1,1,20,30,10
27,2,8,8.1,2,0,20,15,14
28,3,8,5.7,3,0,20,15,14
29,1,9,14.4,7,0,20,20,12
30,2,9,7.1,8,0,20,15,14
31,3,9,6,9,0,20,15,14
32,5,9,7.1,8,0,20,15,14
33,1,10,23.6,7,1,30,30,10
34,2,10,9.2,8,0,20,15,14
35,3,10,6.9,9,0,20,15,14
36,5,10,9.2,8,0,20,15,14
37,1,11,28.3,7,2,40,40,8
38,2,11,12.4,8,0,20,20,12
39,3,11,11.9,9,0,20,15,14
40,5,11,12.4,8,0,20,20,12
41,1,12,13.3,1,0,20,20,12
42,2,12,5.4,2,0,20,15,14
43,3,12,4,3,0,20,15,14
44,1,13,17.3,1,0,20,30,10
45,2,13,7.3,2,0,20,15,14
46,3,13,5.9,3,0,20,15,14
47,1,14,11.1,1,0,20,15,14
48,2,14,4.6,2,0,20,15,14
49,3,14,3.6,3,0,20,15,14
50,1,15,13.9,1,0,20,20,12
51,2,15,5.7,2,0,20,15,14
52,3,15,4.9,3,0,20,15,14
53,1,16,8.1,1,0,20,15,14
54,2,16,3.4,2,0,20,15,14
55,3,16,2.6,3,0,20,15,14
56,1,17,12.2,1,0,20,20,12
57,2,17,4.5,2,0,20,15,14
58,3,17,3.6,3,0,20,15,14
59,1,18,7.4,1,0,20,15,14
60,2,18,3.2,2,0,20,15,14
61,3,18,2.4,3,0,20,15,14
62,1,19,6,1,0,20,15,14
63,2,19,2.6,2,0,20,15,14
64,3,19,1.9,3,0,20,15,14
65,1,20,24,7,1,30,40,8
66,2,20,10.8,8,0,20,15,14
67,3,20,9.4,9,0,20,15,14
68,5,20,10.8,8,0,20,15,14
69,1,21,36.8,7,2,50,50,8
70,2,21,17.9,8,1,20,30,10
71,3,21,14.7,9,0,20,20,12
72,5,21,17.9,8,1,20,30,10
73,1,22,27.6,7,2,40,40,8
74,2,22,14.1,8,0,20,20,12
75,3,22,9.9,9,0,20,15,14
76,5,22,14.1,8,0,20,20,12
77,1,23,39.1,7,2,50,50,8
78,2,23,17.9,8,1,20,30,10
79,3,23,14.8,9,0,20,20,12
80,5,23,17.9,8,1,20,30,10
81,1,24,33.2,7,2,40,50,8
82,2,24,15,8,0,20,20,12
83,3,24,14.1,9,0,20,20,12
84,5,24,15,8,0,20,20,12
85,1,25,43.2,7,3,50,60,6
86,2,25,21.2,8,1,30,30,10
87,5,25,21.2,8,1,30,30,10
88,1,26,37.2,7,2,50,50,8
89,2,26,16.7,8,1,20,30,10
90,3,26,14.6,9,0,20,20,12
91,5,26,16.7,8,1,20,30,10
