1207,403,3,5830
1208,403,4,5830
1209,403,9,
1210,404,3,
1211,404,4,6070
1212,404,9,
1213,405,3,
1214,405,4,6080
1215,405,9,6540
1216,406,3,6070
1217,406,4,6910
1218,406,9,7360
1219,407,3,
1220,407,4,7750
1221,407,9,8180
1222,408,3,
1223,408,4,9730
1224,408,9,10180
1225,409,3,
1226,409,4,6060
1227,409,9,
1228,410,3,
1229,410,4,6180
1230,410,9,6640
1231,411,3,
1232,411,4,6550
1233,411,9,
1234,412,3,6910
1235,412,4,6840
1236,412,9,7290
1237,413,3,
1238,413,4,8690
1239,413,9,9140
1240,414,3,
1241,414,4,12950
1242,414,9,13410
1243,415,3,7750
1244,415,4,13020
1245,415,9,13470
1246,416,3,
1247,416,4,15230
1248,416,9,15740
1249,417,3,
1250,417,4,18340
1251,417,9,18970
1252,418,3,9730
1253,418,4,18880
1254,418,9,19470
1255,419,3,
1256,419,4,20050
1257,419,9,20640
1258,420,3,
1259,420,4,23700
1260,420,9,24370
1261,421,3,6060
1262,421,4,23830
1263,421,9,24400
1264,422,3,
1265,422,4,12770
1266,422,9,13220
1267,423,3,
1268,423,4,13220
1269,423,9,13670
1270,424,3,6180
1271,424,4,13730
1272,424,9,14160
1273,425,3,
1274,425,4,14960
1275,425,9,15460
1276,426,3,
1277,426,4,18260
1278,426,9,18900
1279,427,3,6550
1280,427,4,19000
1281,427,9,19600
1282,428,3,
1283,428,4,21140
1284,428,9,21740
1285,429,3,
1286,429,4,27680
1287,429,9,28300
1288,430,3,
1289,430,4,27680
1290,430,9,28300
1291,431,3,
1292,431,4,12950
1293,431,9,13410
1294,432,3,
1295,432,4,13020
1296,432,9,13470
1297,433,3,8690
1298,433,4,15230
1299,433,9,15740
1300,434,3,
1301,434,4,18340
1302,434,9,18970
1303,435,3,
1304,435,4,18880
1305,435,9,19470
1306,436,3,
1307,436,4,20050
1308,436,9,20640
1309,437,3,
1310,437,4,23700
1311,437,9,24370
1312,438,3,
1313,438,4,23830
1314,438,9,24400
1315,439,3,
1316,439,4,14290
1317,439,9,14740
1318,440,3,
1319,440,4,14740
1320,440,9,15180
1321,441,3,
1322,441,4,15700
1323,441,9,16140
1324,442,3,
1325,442,4,16470
1326,442,9,16980
1327,443,3,
1328,443,4,19780
1329,443,9,20430
1330,444,3,
1331,444,4,20500
1332,444,9,21090
1333,445,3,
1334,445,4,22660
1335,445,9,23250
1336,446,3,
1337,446,4,28060
1338,446,9,28660
1339,447,3,
1340,447,4,28060
1341,447,9,28660
1342,448,3,
1343,448,4,6330
1344,448,9,6790
1345,449,3,
1346,449,4,7070
1347,449,9,7540
1348,450,3,
1349,450,4,7710
1350,450,9,8230
1351,451,3,
1352,451,4,8020
1353,451,9,8480
1354,452,3,
1355,452,4,8480
1356,452,9,8850
1357,453,3,
1358,453,4,8630
1359,453,9,9150
1360,454,3,
1361,454,4,9630
1362,454,9,10150
1363,455,3,
1364,455,4,15020
1365,455,9,15690
1366,456,3,
1367,456,4,18180
1368,456,9,18710
1369,457,3,
1370,457,4,22550
1371,457,9,23180
1372,458,3,
1373,458,4,22880
1374,458,9,23300
1375,459,3,
1376,459,4,6750
1377,459,9,7210
1378,460,3,
1379,460,4,6950
1380,460,9,7390
1381,461,3,
1382,461,4,8890
1383,461,9,9340
1384,462,3,
1385,462,4,8420
1386,462,9,8880
1387,463,3,
1388,463,4,8730
1389,463,9,9180
1390,464,3,
1391,464,4,9130
1392,464,9,9580
1393,465,3,
1394,465,4,9220
1395,465,9,9670
1396,466,3,
1397,466,4,12450
1398,466,9,12900
1399,467,3,
1400,467,4,20790
1401,467,9,21380
1402,468,3,
1403,468,4,6330
1404,468,9,6790
1405,469,3,
1406,469,4,7070
1407,469,9,7070
1408,470,3,
1409,470,4,7710
1410,470,9,8230
1411,471,3,
1412,471,4,8020
1413,471,9,8480
1414,472,3,
1415,472,4,8480
1416,472,9,8850
1417,473,3,
1418,473,4,8630
1419,473,9,9150
1420,474,3,
1421,474,4,9630
1422,474,9,10150
1423,475,3,
1424,475,4,15690
1425,475,9,15690
1426,476,3,
1427,476,4,19900
1428,476,9,19450
1429,477,3,
1430,477,4,23290
1431,477,9,23910
1432,478,3,
1433,478,4,23460
1434,478,9,24020
1435,479,3,
1436,479,4,6750
1437,479,9,7210
1438,480,3,
1439,480,4,6950
1440,480,9,7390
1441,481,3,
1442,481,4,8890
1443,481,9,9340
1444,482,3,
1445,482,4,8420
1446,482,9,8880
1447,483,3,
1448,483,4,8730
1449,483,9,9180
1450,484,3,
1451,484,4,9130
1452,484,9,9580
1453,485,3,
1454,485,4,9220
1455,485,9,9670
1456,486,3,
1457,486,4,12450
1458,486,9,12900
1459,487,3,
1460,487,4,20790
1461,487,9,21380
1462,488,3,
1463,488,4,7540
1464,488,9,7990
1465,489,3,
1466,489,4,7630
1467,489,9,8080
1468,490,3,
1469,490,4,7810
1470,490,9,8260
1471,491,3,
1472,491,4,9590
1473,491,9,10040
1474,492,3,
1475,492,4,10630
1476,492,9,10970
1477,493,3,
1478,493,4,10770
1479,493,9,11220
1480,494,3,
1481,494,4,10950
1482,494,9,11400
1483,495,3,
1484,495,4,13090
1485,495,9,13600
1486,496,3,
1487,496,4,16300
1488,496,9,16930
1489,497,3,
1490,497,4,17570
1491,497,9,18200
1492,498,3,
1493,498,4,19140
1494,498,9,19730
1495,499,3,
1496,499,4,19400
1497,499,9,20000
1498,500,3,
1499,500,4,24130
1500,500,9,24850
1501,501,3,
1502,501,4,24430
1503,501,9,25050
1504,502,3,
1505,502,4,25140
1506,502,9,25730
1507,503,3,
1508,503,4,7540
1509,503,9,7990
1510,504,3,
1511,504,4,7630
1512,504,9,8080
1513,505,3,
1514,505,4,7810
1515,505,9,8260
1516,506,3,
1517,506,4,7850
1518,506,9,8300
1519,507,3,
1520,507,4,8780
1521,507,9,9240
1522,508,3,
1523,508,4,10730
1524,508,9,11180
1525,509,3,
1526,509,4,10880
1527,509,9,11330
1528,510,3,
1529,510,4,11760
1530,510,9,12210
1531,511,3,
1532,511,4,11970
1533,511,9,12450
1534,512,3,
1535,512,4,13800
1536,512,9,14310
1537,513,3,
1538,513,4,15220
1539,513,9,15670
1540,514,3,
1541,514,4,15470
1542,514,9,15940
1543,515,3,
1544,515,4,18690
1545,515,9,19280
1546,516,3,
1547,516,4,19000
1548,516,9,19490
1549,517,3,
1550,517,4,19710
1551,517,9,20170
1552,518,3,
1553,518,4,22200
1554,518,9,22480
1555,519,3,
1556,519,4,27400
1557,519,9,27540
1558,520,3,
1559,520,4,7540
1560,520,9,7990
1561,521,3,
1562,521,4,7630
1563,521,9,8080
1564,522,3,
1565,522,4,7810
1566,522,9,8260
1567,523,3,
1568,523,4,9590
1569,523,9,10040
1570,524,3,
1571,524,4,10630
1572,524,9,10970
1573,525,3,
1574,525,4,10770
1575,525,9,11220
1576,526,3,
1577,526,4,10950
1578,526,9,11400
1579,527,3,
1580,527,4,13090
1581,527,9,13600
1582,528,3,
1583,528,4,16300
1584,528,9,16930
1585,529,3,
1586,529,4,17570
1587,529,9,18200
1588,530,3,
1589,530,4,19140
1590,530,9,19730
1591,531,3,
1592,531,4,19400
1593,531,9,20000
1594,532,3,
1595,532,4,24130
1596,532,9,24850
1597,533,3,
1598,533,4,24430
1599,533,9,25050
1600,534,3,
1601,534,4,25140
1602,534,9,25730
1603,535,3,
1604,535,4,7540
1605,535,9,7990
1606,536,3,
1607,536,4,7630
1608,536,9,8080
1609,537,3,
1610,537,4,7810
1611,537,9,8260
1612,538,3,6340
1613,538,4,7850
1614,538,9,8300
1615,539,3,
1616,539,4,8780
1617,539,9,9240
1618,540,3,
1619,540,4,10730
1620,540,9,11180
1621,541,3,7080
1622,541,4,10910
1623,541,9,11360
1624,542,3,
1625,542,4,12320
1626,542,9,12760
